City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Somerset East,-32.7217,25.588,45.3,85,0,1.95,ZA,1619834844
Bakchar,57.0186,82.0711,43.52,70,94,3.24,RU,1619834846
Klaksvík,62.2266,-6.589,35.6,80,90,4.61,FO,1619834847
Villarrica,-25.75,-56.4333,60.94,60,0,4.41,PY,1619834848
Auki,-8.7676,160.7034,84.4,68,88,2.62,SB,1619834850
Kyabé,9.4515,18.9449,84.13,46,98,5.79,TD,1619834851
Pierre,44.3683,-100.351,68.0,45,1,12.66,US,1619834851
Hurghada,27.2574,33.8129,82.4,18,0,10.36,EG,1619834853
São João da Barra,-21.6403,-41.0511,68.5,75,100,9.26,BR,1619834854
Verāval,20.9,70.3667,82.15,76,88,8.34,IN,1619834855
Cukai,4.25,103.4167,82.4,83,20,3.44,MY,1619834856
Tautira,-17.7333,-149.15,86.0,70,75,6.91,PF,1619834860
College,64.8569,-147.8028,37.4,48,75,12.66,US,1619834588
Petauke,-14.2426,31.3253,64.11,86,6,3.51,ZM,1619834864
Kjøllefjord,70.9457,27.3465,33.8,75,40,13.8,NO,1619834864
Marzuq,14.4,46.4667,73.51,63,94,2.66,YE,1619834865
Östersund,63.1792,14.6357,30.99,80,75,8.05,SE,1619834868
Solnechnyy,50.7214,136.6319,39.15,64,100,9.1,RU,1619834868
Deqing,30.5448,119.9599,78.01,50,0,7.0,CN,1619834869
Chumikan,54.7183,135.315,32.05,95,100,12.57,RU,1619834871
Esperance,-33.8667,121.9,59.0,82,90,8.05,AU,1619834873
Akçakoca,41.0866,31.1162,59.81,74,73,6.02,TR,1619834873
Ixtapa,20.7,-105.2,77.0,78,75,5.75,MX,1619834874
Wajima,37.4,136.9,55.4,82,100,2.3,JP,1619834876
Buritis,-15.6178,-46.4233,69.04,86,99,3.67,BR,1619834876
Tiarei,-17.5333,-149.3333,86.0,70,75,6.91,PF,1619834878
Turukhansk,65.8167,87.9833,35.82,93,100,13.62,RU,1619834878
Iaciara,-14.0958,-46.6317,74.52,61,100,4.23,BR,1619834879
Sisimiut,66.9395,-53.6735,33.58,84,100,1.61,GL,1619834880
Bohicon,7.1783,2.0667,77.14,90,87,5.82,BJ,1619834880
Kamenka,51.3223,42.7678,50.0,89,100,14.81,RU,1619834881
Pulsano,40.3821,17.3564,62.01,93,100,1.01,IT,1619834881
Pangkalanbuun,-2.6833,111.6167,85.55,68,100,3.09,ID,1619834707
Kyakhta,50.3508,106.4494,47.16,39,100,5.23,RU,1619834882
Skjervøy,70.0311,20.9714,31.51,55,100,19.15,NO,1619834883
Tura,25.5198,90.2201,86.02,40,7,2.04,IN,1619834884
Sarangani,5.4033,125.4636,83.28,75,97,16.17,PH,1619834884
Capão da Canoa,-29.7456,-50.0097,65.89,77,2,11.36,BR,1619834885
Nassau,40.7507,-73.5829,52.0,49,12,5.99,US,1619834886
Kizilskoye,52.7255,58.8937,42.67,70,32,5.03,RU,1619834886
Gravdal,68.1214,13.5031,34.75,56,88,10.11,NO,1619834887
Kulhudhuffushi,6.6221,73.07,83.93,72,98,5.23,MV,1619834888
Saint-Pierre,-21.3393,55.4781,73.4,78,0,6.91,RE,1619834888
Isabela,6.7085,121.9711,82.4,89,75,2.3,PH,1619834889
Arkhangelsk,64.5401,40.5433,30.2,100,90,8.16,RU,1619834890
Udachny,66.4167,112.4,33.04,95,100,10.27,RU,1619834597
Williston,48.147,-103.618,73.4,16,1,5.75,US,1619834726
Kalangala,-0.3089,32.225,68.0,94,20,4.61,UG,1619834894
Cockburn Town,21.4612,-71.1419,78.58,73,48,15.12,TC,1619834895
Najrān,17.4924,44.1277,75.2,29,75,6.33,SA,1619834896
Belyy Yar,53.6039,91.3903,42.8,70,0,2.24,RU,1619834896
Acapulco de Juárez,16.8634,-99.8901,80.6,83,1,4.61,MX,1619834897
Matagami,49.7502,-77.6328,24.8,58,90,24.16,CA,1619834898
Springdale,36.1867,-94.1288,69.8,63,1,1.14,US,1619834802
Touros,-5.1989,-35.4608,75.2,88,0,4.61,BR,1619834902
The Pas,53.8251,-101.2541,44.6,53,90,14.97,CA,1619834659
Rabo de Peixe,37.8,-25.5833,51.8,71,20,3.44,PT,1619834905
Ejido Ixcatepec,21.2,-97.95,73.18,86,100,4.43,MX,1619834908
Bam,29.106,58.357,66.04,53,99,12.71,IR,1619834909
Panjāb,34.388,67.0233,47.86,74,95,2.48,AF,1619834909
Alice Springs,-23.7,133.8833,82.4,20,67,8.05,AU,1619834910
Forsytheganj,52.6333,29.7333,44.42,93,92,4.7,BY,1619834912
Palpa,-14.5336,-75.1856,69.94,67,26,1.81,PE,1619834913
Tagusao,9.1924,117.8141,86.27,59,61,3.56,PH,1619834914
Colon,8.0313,-72.2605,73.4,100,75,2.3,VE,1619834915
Sivaki,52.6333,126.75,44.91,51,97,4.88,RU,1619834916
Fountain,38.6822,-104.7008,73.4,15,1,14.97,US,1619834917
Blessington,53.17,-6.5325,37.99,93,75,5.75,IE,1619834919
Caravelas,-17.7125,-39.2481,76.37,63,100,13.2,BR,1619834919
Black River,18.0264,-77.8487,80.6,69,20,2.3,JM,1619834921
Nemuro,43.3236,145.575,48.2,53,75,18.41,JP,1619834922
Srednekolymsk,67.45,153.6833,28.33,77,9,12.17,RU,1619834922
Bathsheba,13.2167,-59.5167,78.8,65,20,14.97,BB,1619834923
Yumen,40.2833,97.2,73.54,7,100,4.5,CN,1619834924
Mingshui,36.7167,117.5,64.15,28,0,13.49,CN,1619834926
Dongsheng,39.8161,109.9776,53.08,29,100,6.87,CN,1619834927
Abhar,36.1468,49.218,53.02,76,49,1.34,IR,1619834933
Chimoio,-19.1164,33.4833,64.4,100,75,1.25,MZ,1619834934
Linxia Chengguanzhen,35.6003,103.2064,63.63,25,31,0.6,CN,1619834935
Vostok,46.4856,135.8833,52.07,37,1,7.87,RU,1619834936
La Paz,-16.5,-68.15,35.6,87,5,9.22,BO,1619834905
Outjo,-20.1167,16.15,63.64,36,51,5.06,NA,1619834937
Morón,-34.6534,-58.6198,66.0,90,7,4.68,AR,1619834938
Macenta,8.5435,-9.471,69.98,96,37,2.28,GN,1619834938
Gwanda,-20.9333,29.0,61.93,89,37,6.13,ZW,1619834939
Coffeyville,37.0373,-95.6164,66.2,48,1,5.75,US,1619834820
Akureyri,65.6835,-18.0878,32.0,100,90,9.22,IS,1619834940
Gualeguay,-33.1416,-59.3097,57.15,71,0,7.54,AR,1619834783
Asău,46.4333,26.4,52.0,60,99,4.81,RO,1619834941
Trat,12.5,102.5,87.01,99,60,1.12,TH,1619834942
Casa Nova,-9.4167,-41.1333,77.0,78,0,11.5,BR,1619834943
San Quintín,30.4833,-115.95,67.26,66,0,11.63,MX,1619834943
Tiksi,71.6872,128.8694,30.6,89,21,4.92,RU,1619834944
Tucuruí,-3.7661,-49.6725,74.07,97,100,4.92,BR,1619834679
Lavrentiya,65.5833,-171.0,25.23,70,66,2.51,RU,1619834946
Laas,46.6166,10.7002,48.99,87,75,4.61,IT,1619834948
Graciano Sánchez,23.9167,-99.2833,74.75,71,100,4.21,MX,1619834953
Payo,-3.7508,103.6372,81.81,75,83,1.59,ID,1619834954
Durango,24.8333,-104.8333,56.57,54,16,13.82,MX,1619834825
Shingū,33.7333,135.9833,66.2,82,75,17.27,JP,1619834956
Distrikt Brokopondo,4.75,-55.1667,75.69,89,100,7.99,SR,1619834957
Leshukonskoye,64.8989,45.7622,32.97,89,100,3.2,RU,1619834958
Shorap’ani,42.0898,43.0866,48.2,100,73,2.3,GE,1619834959
Belle Fourche,44.6714,-103.8522,73.99,39,1,5.75,US,1619834960
Mossamedes,-15.1961,12.1522,75.25,72,0,6.93,AO,1619834770
Coleraine,55.1333,-6.6667,30.2,93,0,2.3,GB,1619834961
Honiara,-9.4333,159.95,84.96,67,97,4.9,SB,1619834962
Bayan,46.0833,127.4,55.72,48,100,11.52,CN,1619834963
Nishihara,26.1842,127.7558,78.8,78,75,16.11,JP,1619834964
Zinder,13.8072,8.9881,78.53,8,0,6.42,NE,1619834964
Carnot,4.9409,15.8665,70.03,92,100,2.01,CF,1619834967
Umluj,25.0213,37.2685,85.68,28,0,9.73,SA,1619834967
Navahrudak,53.6,25.8333,40.42,85,100,6.64,BY,1619834968
Mitchell,43.7094,-98.0298,68.0,32,1,12.66,US,1619834915
Nālūt,30.3333,10.85,83.1,11,89,5.7,LY,1619834970
San Policarpo,12.1791,125.5072,83.44,65,8,6.13,PH,1619834970
Tantoyuca,21.35,-98.2333,75.63,79,100,9.08,MX,1619834941
Aswān,24.0934,32.907,83.75,14,0,9.37,EG,1619834971
Road Town,18.4167,-64.6167,78.8,78,40,8.05,VG,1619834972
Abalak,58.1286,68.5944,36.99,54,11,14.14,RU,1619834972
Mercedes,-34.6515,-59.4307,57.0,82,0,4.0,AR,1619834973
Ukhta,63.5671,53.6835,35.62,74,100,9.98,RU,1619834974
Azul,-36.777,-59.8585,52.61,79,0,7.65,AR,1619834975
Lagoa,39.05,-27.9833,59.02,74,100,10.42,PT,1619834975
Belgrade,44.804,20.4651,59.0,82,0,2.3,RS,1619834764
Xinyu,27.8043,114.9334,80.71,54,99,3.6,CN,1619834977
Bairiki Village,1.3292,172.9752,87.8,70,75,8.05,KI,1619834978
Dawei,14.0833,98.2,84.2,70,79,1.03,MM,1619834980
Thio,-21.6167,166.2167,80.6,57,0,17.27,NC,1619834981
Naryan-Mar,67.6713,53.087,30.78,78,100,8.5,RU,1619834983
Yeniseysk,58.4497,92.1703,44.47,78,9,8.93,RU,1619834986
Saint-Paul,-21.0096,55.2707,75.2,88,75,12.66,RE,1619834987
Salamiyah,35.0113,37.0532,65.05,35,0,7.07,SY,1619834988
Imeni Poliny Osipenko,52.4201,136.4853,42.57,53,100,9.06,RU,1619834990
Bida,9.0833,6.0167,82.4,61,100,3.78,NG,1619834992
Sasykoli,47.5515,46.9968,56.53,49,100,7.63,RU,1619834992
Luanda,-8.8368,13.2343,78.8,94,75,3.69,AO,1619834932
Harindānga,22.0383,88.3214,84.2,54,1,12.21,IN,1619834995
Tessalit,20.1986,1.0114,79.97,32,93,20.13,ML,1619834995
Charlottesville,38.0293,-78.4767,55.4,50,1,9.22,US,1619834996
Ugoofaaru,5.6667,73.0,83.43,72,70,7.2,MV,1619834996
Newcastleton,55.1796,-2.8127,32.0,92,22,4.03,GB,1619834997
Porto-Novo,6.4965,2.6036,82.4,83,20,10.36,BJ,1619834998
Loukhi,66.0764,33.0381,22.69,83,52,5.7,RU,1619834998
Oranjemund,-28.55,16.4333,55.9,71,0,8.68,NA,1619834999
Tsimmerbude,54.675,20.1347,39.2,70,0,8.95,RU,1619835000
Tori,58.4825,24.8152,36.0,98,10,4.94,EE,1619835001
Sorong,-0.8833,131.25,83.39,72,85,5.21,ID,1619835002
Malbork,54.0359,19.0266,35.01,90,100,1.01,PL,1619835004
Sioux Lookout,50.1001,-91.917,50.0,25,75,9.22,CA,1619835008
Azuaga,38.2667,-5.6833,45.0,78,10,5.01,ES,1619835010
Kirakira,-10.4544,161.9205,83.26,75,87,4.81,SB,1619835011
Adré,13.4667,22.2,80.13,14,18,10.29,TD,1619835012
Villa de San Francisco,14.1667,-86.9667,75.2,73,75,4.61,HN,1619835013
Ozark,37.0209,-93.206,64.0,66,0,4.63,US,1619835013
Nanortalik,60.1432,-45.2371,37.02,72,100,10.71,GL,1619835014
Taldan,53.6667,124.8,45.86,43,100,3.87,RU,1619835015
Yulara,-25.2406,130.9889,73.4,21,100,3.44,AU,1619835015
Te Anau,-45.4167,167.7167,51.98,64,35,0.74,NZ,1619835016
Sovetskiy,61.3614,63.5842,33.73,67,5,2.57,RU,1619835016
Vao,-22.6667,167.4833,74.39,71,100,23.24,NC,1619835017
Rio Bananal,-19.265,-40.3333,67.1,79,57,6.35,BR,1619835018
Bud,39.447,-86.1758,48.99,56,3,7.02,US,1619835019
Karpathos,35.507,27.2132,66.2,72,14,4.61,GR,1619835019
Vila Velha,-20.3297,-40.2925,73.0,73,40,6.91,BR,1619835020
Kastornoye,51.8334,38.1302,52.99,91,100,11.99,RU,1619835020
Baie-Comeau,49.2168,-68.1489,48.2,57,90,9.22,CA,1619834830
Dinguiraye,11.3,-10.7167,80.11,51,95,2.55,GN,1619835021
Flin Flon,54.7682,-101.865,36.07,95,9,3.98,CA,1619835023
Ust-Kuyga,70.0167,135.6,33.01,97,70,4.97,RU,1619835024
Vardø,70.3705,31.1107,32.07,87,100,11.86,NO,1619835026
Neuquén,-38.9516,-68.0591,55.4,82,0,4.61,AR,1619835026
Bonnyville,54.2668,-110.735,66.2,23,42,5.75,CA,1619835027
Zhangaözen,43.3,52.8,62.04,50,86,10.42,KZ,1619835028
Ust'-Kulom,61.6864,53.6902,34.77,97,100,12.84,RU,1619835029
Aksarka,66.5606,67.7975,17.02,85,20,1.21,RU,1619835030
Denpasar,-8.65,115.2167,82.4,83,20,3.44,ID,1619835030
Ulladulla,-35.35,150.4667,69.8,60,0,3.44,AU,1619835031
Elizabeth City,36.2946,-76.2511,70.0,32,1,10.36,US,1619834775
Port Hedland,-20.3167,118.5667,91.4,19,0,13.8,AU,1619834885
Dengzhou,37.8086,120.7508,52.7,65,0,17.31,CN,1619835033
Harper,4.375,-7.7169,80.55,78,100,4.18,LR,1619835035
Bāsudebpur,21.1353,86.7386,83.73,71,8,10.76,IN,1619835036
Sinnamary,5.3833,-52.95,75.76,92,100,9.26,GF,1619835037
Coahuayana Viejo,18.7333,-103.6833,74.19,85,63,3.18,MX,1619835038
Manuk Mangkaw,4.8,119.85,84.4,68,97,7.07,PH,1619835039
Marsh Harbour,26.5412,-77.0636,77.68,73,18,5.01,BS,1619835040
Karasburg,-28.0167,18.75,52.32,38,0,10.07,NA,1619835041
Lengshuijiang,27.6881,111.4294,82.08,48,54,2.8,CN,1619835041
Saint Anthony,45.0205,-93.218,55.99,26,1,5.75,US,1619835042
Rio Claro,-22.4114,-47.5614,64.0,82,0,5.75,BR,1619835044
Hauterive,46.0901,3.4459,48.2,87,90,1.14,FR,1619835045
Culebra,18.303,-65.301,78.8,69,1,6.91,PR,1619835047
Itakyry,-24.9333,-55.2167,62.6,82,0,3.33,PY,1619835049
Lugovskoy,56.9585,64.529,33.8,51,0,6.71,RU,1619835049
Aykhal,66.0,111.5,30.83,95,100,14.34,RU,1619835050
